Timestamp,Friend_1,Friend_2,Friend_3,Happiness_1,Happiness_2,Happiness_3,Happiness_4,Happiness_5,Happiness_6,Happiness_7,Happiness_8,Happiness_9,Happiness_10,Happiness_11,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Depression_1,Depression_2,Depression_3,Depression_4,Depression_5,Depression_6,Depression_7,Depression_8,Depression_9,Commit,NonCommit,Age,Gender,Sex,Mono_or_Poly,Happiness_Rating,Anxiety_Rating,Depression_Rating,Friend_Rating
2022-04-12 08:07:24.921,5.0,3.0,5,6.0,7.0,6.0,6.0,5.0,5.0,2,6.0,4.0,6.0,4.0,1,2,3,2,1,0,1,0,0,1,2,1,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,5.181818181818182,1.4285714285714286,0.5555555555555556,4.333333333333333
2022-04-12 08:08:02.620,7.0,4.0,7,5.0,7.0,5.0,7.0,7.0,7.0,4,7.0,7.0,7.0,6.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,6.2727272727272725,0.42857142857142855,0.1111111111111111,6.0
2022-04-12 08:08:50.433,7.0,7.0,7,5.0,7.0,7.0,7.0,6.0,6.0,2,6.0,7.0,7.0,6.0,1,1,2,2,1,1,1,1,1,2,1,1,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.2857142857142858,0.7777777777777778,7.0
2022-04-12 08:09:41.839,5.0,3.0,6,5.0,5.0,3.0,5.0,5.0,5.0,4,4.0,3.0,3.0,4.0,0,0,1,2,1,0,0,1,1,0,0,1,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,4.181818181818182,0.5714285714285714,0.5555555555555556,4.666666666666667
2022-04-12 09:29:09.710,4.0,5.0,6,5.0,6.0,6.0,6.0,5.0,5.0,6,4.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5.2727272727272725,1.0,0.2222222222222222,5.0
2022-04-12 12:36:43.059,5.0,5.0,5,5.0,6.0,4.0,6.0,5.0,6.0,3,4.0,2.0,5.0,5.0,2,2,2,2,1,1,0,1,1,1,2,1,0,1,0,0,1.0,0.0,1.0,1.0,2.0,0.0,4.636363636363637,1.4285714285714286,0.7777777777777778,5.0
2022-04-12 12:37:41.446,7.0,5.0,6,5.0,7.0,6.0,6.0,5.0,5.0,3,6.0,4.0,4.0,6.0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,5.181818181818182,1.0,0.5555555555555556,6.0
2022-04-12 12:37:49.039,3.0,2.0,1,4.0,4.0,3.0,2.0,4.0,3.0,1,2.0,1.0,5.0,3.0,3,3,3,1,2,3,3,1,2,2,3,0,3,2,1,0,0.0,0.0,1.0,1.0,0.0,0.0,2.909090909090909,2.5714285714285716,1.5555555555555556,2.0
2022-04-12 12:39:54.193,7.0,6.0,6,6.0,5.0,4.0,6.0,6.0,6.0,6,6.0,6.0,6.0,7.0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5.818181818181818,0.5714285714285714,0.4444444444444444,6.333333333333333
2022-04-12 12:40:56.408,6.0,4.0,6,6.0,6.0,6.0,7.0,6.0,5.0,5,6.0,6.0,6.0,6.0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5.909090909090909,0.8571428571428571,0.3333333333333333,5.333333333333333
2022-04-12 12:41:27.241,6.0,4.0,6,6.0,5.0,5.0,5.0,6.0,6.0,6,5.0,6.0,5.0,4.0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,5.363636363636363,0.8571428571428571,0.5555555555555556,5.333333333333333
2022-04-12 12:41:46.027,5.0,3.0,4,4.0,6.0,4.0,7.0,5.0,7.0,1,3.0,3.0,7.0,4.0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,0,1.0,0.0,1.0,1.0,0.0,0.0,4.636363636363637,3.0,2.3333333333333335,4.0
2022-04-12 12:52:50.007,7.0,3.0,7,6.0,6.0,5.0,6.0,7.0,5.0,6,6.0,3.0,2.0,7.0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5.363636363636363,0.8571428571428571,0.3333333333333333,5.666666666666667
2022-04-13 11:08:31.815,1.0,1.0,7,7.0,7.0,4.0,5.0,7.0,7.0,6,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6.181818181818182,0.0,0.0,3.0
2022-04-13 15:31:45.897,6.0,2.0,6,5.0,6.0,5.0,6.0,3.0,5.0,5,3.0,3.0,7.0,3.0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,4.636363636363637,0.5714285714285714,0.4444444444444444,4.666666666666667
2022-04-16 12:33:03.152,3.0,2.0,2,3.0,4.0,3.0,5.0,3.0,5.0,2,5.0,4.0,4.0,2.0,3,2,2,3,2,1,1,1,2,2,2,2,1,2,1,1,0.0,0.0,1.0,0.0,3.0,0.0,3.6363636363636362,2.0,1.5555555555555556,2.3333333333333335
2022-04-16 13:08:09.605,3.0,7.0,3,3.0,4.0,4.0,6.0,5.0,6.0,5,5.0,5.0,6.0,6.0,3,3,3,1,1,2,1,0,1,3,2,1,0,3,0,1,0.0,0.0,2.0,2.0,3.0,0.0,5.0,2.0,1.2222222222222223,4.333333333333333
2022-04-16 14:46:34.118,3.0,5.0,2,3.0,6.0,2.0,7.0,5.0,5.0,5,5.0,2.0,6.0,5.0,1,0,2,2,1,1,0,0,1,3,1,0,2,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,4.636363636363637,1.0,0.8888888888888888,3.3333333333333335
2022-04-16 14:51:19.933,4.0,4.0,7,6.0,6.0,6.0,6.0,5.0,5.0,3,5.0,5.0,6.0,6.0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0.0,0.0,4.0,1.0,0.0,0.0,5.363636363636363,1.0,0.5555555555555556,5.0
2022-04-16 16:20:30.648,4.0,3.0,4,2.0,3.0,3.0,4.0,4.0,4.0,4,4.0,4.0,5.0,5.0,2,2,2,2,2,2,1,1,1,2,1,2,1,1,2,1,0.0,1.0,3.0,1.0,2.0,0.0,3.8181818181818183,1.8571428571428572,1.3333333333333333,3.6666666666666665
2022-04-16 16:20:35.122,2.0,2.0,2,3.0,2.0,7.0,4.0,2.0,2.0,2,4.0,3.0,3.0,3.0,1,1,1,1,2,0,1,1,1,2,2,1,1,1,1,3,0.0,0.0,1.0,1.0,2.0,0.0,3.1818181818181817,1.0,1.4444444444444444,2.0
2022-04-16 17:47:08.188,3.0,1.0,1,5.0,4.0,5.0,4.0,2.0,6.0,3,6.0,4.0,7.0,4.0,3,3,3,3,2,1,0,1,1,3,1,1,1,0,2,2,0.0,0.0,2.0,0.0,0.0,0.0,4.545454545454546,2.142857142857143,1.3333333333333333,1.6666666666666667
2022-04-17 09:13:50.727,7.0,4.0,4,7.0,7.0,7.0,7.0,7.0,7.0,7,7.0,7.0,7.0,7.0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1.0,0.0,5.0,1.0,0.0,0.0,7.0,0.8571428571428571,0.4444444444444444,5.0
